PG.ProteinGroups	PG.Genes	PG.Organisms	[1] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_0cell_P1.raw.PG.Quantity	[2] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_0cell_P2.raw.PG.Quantity	[3] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_0cell_P3.raw.PG.Quantity	[4] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_0cell_P4.raw.PG.Quantity	[5] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P1O2.raw.PG.Quantity	[6] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P2A1.raw.PG.Quantity	[7] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P2B1.raw.PG.Quantity	[8] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P2C1.raw.PG.Quantity	[9] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P2D1.raw.PG.Quantity	[10] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_us_P1O4.raw.PG.Quantity	[11] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1A2.raw.PG.Quantity	[12] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1B2.raw.PG.Quantity	[13] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1C2.raw.PG.Quantity	[14] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1D2.raw.PG.Quantity	[15] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1E2.raw.PG.Quantity	[16] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1F2.raw.PG.Quantity	[17] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1G2.raw.PG.Quantity	[18] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1H2.raw.PG.Quantity	[19] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1I2.raw.PG.Quantity	[20] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1J2.raw.PG.Quantity	[21] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1K2.raw.PG.Quantity	[22] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1L2.raw.PG.Quantity	[23] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1M2.raw.PG.Quantity	[24] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1N2.raw.PG.Quantity	[25] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2A2.raw.PG.Quantity	[26] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2B2.raw.PG.Quantity	[27] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2C2.raw.PG.Quantity	[28] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2D2.raw.PG.Quantity	[29] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2E2.raw.PG.Quantity	[30] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2F2.raw.PG.Quantity	[31] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2G2.raw.PG.Quantity	[32] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2H2.raw.PG.Quantity	[33] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2I2.raw.PG.Quantity	[34] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2J2.raw.PG.Quantity	[35] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2K2.raw.PG.Quantity	[36] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2L2.raw.PG.Quantity	[37] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2M2.raw.PG.Quantity	[38] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2N2.raw.PG.Quantity	[39] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1A4.raw.PG.Quantity	[40] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1B4.raw.PG.Quantity	[41] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1C4.raw.PG.Quantity	[42] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1D4.raw.PG.Quantity	[43] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1E4.raw.PG.Quantity	[44] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1F4.raw.PG.Quantity	[45] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1G4.raw.PG.Quantity	[46] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1H4.raw.PG.Quantity	[47] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1I4.raw.PG.Quantity	[48] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1J4.raw.PG.Quantity	[49] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1K4.raw.PG.Quantity	[50] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1L4.raw.PG.Quantity	[51] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1M4.raw.PG.Quantity	[52] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1N4.raw.PG.Quantity
cont_O76013	KRT36	Homo sapiens	1378.749267578125	1319.6641845703125	996.2899780273438	1106.6903076171875	1036.5703125	4916.59423828125	1202.252197265625	11026.6201171875	1074.17626953125	9780.7568359375	NaN	6598.22802734375	2918.3173828125	11321.8369140625	1266.2232666015625	3256.706298828125	2768.534912109375	2255.24658203125	2740.010986328125	2887.830078125	4158.14013671875	6162.15185546875	1838.0450439453125	3973.80126953125	686.7373657226562	NaN	654.1091918945312	NaN	NaN	863.5892333984375	NaN	2531.872802734375	3064.638427734375	2174.865234375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5868.18798828125	NaN	NaN	1678.1524658203125	3403.863525390625	2997.55322265625	1983.6549072265625	3640.229736328125	NaN	NaN	7335.052734375
cont_O77727	KRT15	Ovis aries	54.80499267578125	53.412071228027344	68.04051208496094	62.3070182800293	190.23959350585938	371.5516662597656	86.1031494140625	742.6064453125	179.23475646972656	421.2164306640625	NaN	776.9068603515625	165.6154022216797	515.357421875	134.31130981445312	241.244140625	281.0790100097656	197.36416625976562	191.61695861816406	333.21240234375	306.3951416015625	406.9920654296875	186.72767639160156	321.2148742675781	112.60157775878906	192.4517364501953	90.11444091796875	148.19143676757812	101.7571029663086	153.19070434570312	282.08636474609375	147.63351440429688	117.0862045288086	211.83067321777344	202.1298065185547	308.28411865234375	230.79150390625	121.91495513916016	130.71133422851562	1239.071533203125	177.95985412597656	1146.590576171875	131.03482055664062	133.80923461914062	176.65411376953125	316.065673828125	535.23193359375	221.49832153320312	284.8820495605469	106.93449401855469	410.3806457519531	187.24440002441406
cont_P00366	GLUD1	Bos taurus	11.663567543029785	34.59906005859375	18.990928649902344	14.441484451293945	15.131021499633789	12.6639986038208	20.678668975830078	12.618560791015625	15.565028190612793	7.91501522064209	75.51840209960938	9.494743347167969	24.585256576538086	20.627038955688477	23.312837600708008	9.526047706604004	10.280496597290039	14.933939933776855	NaN	16.20513343811035	NaN	11.115663528442383	36.168766021728516	13.87130069732666	31.045433044433594	40.18160629272461	44.11427307128906	36.98917770385742	29.83908462524414	31.551830291748047	51.13916778564453	27.531023025512695	26.07368278503418	38.121185302734375	47.04804611206055	25.007614135742188	38.54499816894531	38.15132141113281	41.72191619873047	70.52708435058594	30.88799285888672	27.606382369995117	41.94757080078125	49.795738220214844	27.82274627685547	NaN	10.288710594177246	NaN	NaN	28.36071014404297	25.991605758666992	23.02179527282715
cont_P00441	SOD1	Homo sapiens	7.345105171203613	14.083833694458008	13.349907875061035	10.015414237976074	22.00211524963379	24.866899490356445	27.525327682495117	20.73029136657715	29.433639526367188	28.122724533081055	117.34847259521484	24.155807495117188	29.86027717590332	44.282470703125	36.017337799072266	29.212562561035156	28.93666648864746	61.40814971923828	30.292490005493164	47.33916091918945	16.58975601196289	29.681140899658203	34.55394744873047	31.6461238861084	121.03984069824219	48.951263427734375	37.364158630371094	68.65074157714844	81.80268096923828	67.2584457397461	44.47826385498047	38.69127655029297	50.99068832397461	53.241947174072266	51.44141387939453	35.93650436401367	35.43626403808594	32.15671157836914	51.53144454956055	22.50923728942871	20.528350830078125	18.72801971435547	26.529932022094727	32.625335693359375	36.999427795410156	77.548583984375	35.61899185180664	36.420875549316406	51.611331939697266	37.3135986328125	34.12031173706055	40.42446517944336
cont_P00761		Sus scrofa	92656.6328125	100083.609375	98709.28125	110142.2734375	60099.7890625	84649.703125	95048.3984375	66523.046875	85870.03125	47513.91015625	162151.078125	35377.65625	69495.671875	58230.48046875	58884.9765625	44147.46875	32722.939453125	33294.37890625	13834.0986328125	21919.853515625	5383.60302734375	7561.40673828125	86152.28125	63723.21875	113790.6328125	112311	87884.8359375	60947.5546875	112015.203125	61346.94140625	114844.546875	53954.1171875	63741.77734375	94962.359375	123224.4765625	42455.8671875	91357.9609375	71397.40625	112109.6953125	20092.9375	102559.015625	40142.5859375	77169.671875	97058.2734375	70971.21875	14276.494140625	23327.490234375	16869.8984375	26071.97265625	83083.8359375	65844.640625	89888.734375
cont_P00767		Bos taurus	30.163183212280273	26.228458404541016	29.791290283203125	26.126195907592773	21.90050506591797	21.383310317993164	34.14930725097656	15.04474925994873	24.070110321044922	12.749246597290039	113.21647644042969	22.095478057861328	25.034862518310547	22.324459075927734	32.03917694091797	22.126384735107422	15.76248836517334	15.016871452331543	5.642423629760742	12.993118286132812	3.324968099594116	4.34002161026001	30.136215209960938	24.797149658203125	33.40983581542969	57.49241256713867	33.02804183959961	31.077999114990234	32.15201187133789	20.850683212280273	44.359840393066406	33.013885498046875	36.959571838378906	26.251426696777344	33.746131896972656	29.15972328186035	40.13593292236328	21.15234375	42.380130767822266	NaN	42.197654724121094	19.90240478515625	23.176008224487305	34.90374755859375	22.20266342163086	5.427615165710449	10.64913558959961	8.372492790222168	12.982526779174805	29.022180557250977	30.147464752197266	26.871858596801758
cont_P00883	ALDOA	Oryctolagus cuniculus	180.9247589111328	304.0969543457031	192.90753173828125	225.7400665283203	189.540771484375	172.02960205078125	194.4710235595703	123.55034637451172	206.02560424804688	97.82137298583984	773.4699096679688	201.74789428710938	365.1178894042969	196.5609130859375	238.33389282226562	153.09959411621094	146.05648803710938	177.1222686767578	109.05171203613281	152.94517517089844	55.39564514160156	73.43206787109375	305.05517578125	184.8140869140625	343.4707336425781	743.6465454101562	576.8490600585938	517.682861328125	646.2198486328125	646.5120239257812	409.1361083984375	369.50408935546875	489.4031982421875	511.2505187988281	483.3114929199219	233.6728973388672	504.9931640625	308.68389892578125	451.3837585449219	89.60162353515625	277.4667663574219	98.93336486816406	517.9341430664062	502.81475830078125	281.9100341796875	90.61676788330078	94.88401794433594	107.91317749023438	105.11077117919922	398.31243896484375	239.34963989257812	305.75421142578125
cont_P00918	CA2	Homo sapiens	11.334622383117676	28.01428985595703	22.667871475219727	20.694019317626953	12.273344039916992	8.89831256866455	11.947726249694824	25.122730255126953	15.811355590820312	9.277552604675293	115.18334197998047	17.75778579711914	43.19594192504883	23.77182388305664	33.385807037353516	18.69191551208496	14.677484512329102	30.211891174316406	10.512004852294922	8.121237754821777	9.558236122131348	11.217406272888184	46.20206832885742	32.25577926635742	45.28342819213867	58.181026458740234	46.97234344482422	47.87015914916992	83.754150390625	54.31626510620117	50.3781852722168	35.53021240234375	48.51234436035156	61.56058120727539	94.1253662109375	24.77494239807129	56.89732360839844	49.416343688964844	84.6768569946289	NaN	55.586875915527344	NaN	55.45096969604492	56.31575012207031	34.5483512878418	21.44784927368164	18.556915283203125	10.773323059082031	17.284671783447266	55.969947814941406	42.81635284423828	48.72838592529297
cont_P02662	CSN1S1	Bos taurus	28.74720573425293	47.62288284301758	36.963783264160156	40.384212493896484	38.738197326660156	271.187744140625	62.8818473815918	72.04601287841797	71.25914764404297	94.86421203613281	49.346839904785156	185.67819213867188	156.37261962890625	260.01007080078125	150.59019470214844	196.16592407226562	165.5023956298828	721.2611694335938	198.81898498535156	373.7690124511719	140.25001525878906	189.58143615722656	62.71794891357422	39.8270263671875	88.25867462158203	108.17748260498047	102.33924102783203	42.016868591308594	104.20963287353516	85.88545989990234	281.034423828125	320.4791259765625	195.29344177246094	116.51103210449219	141.6499786376953	187.12380981445312	142.68743896484375	103.55318450927734	94.84480285644531	96.79859161376953	51.431758880615234	79.72889709472656	105.88797760009766	75.6476058959961	203.36546325683594	296.5953674316406	156.9000701904297	254.353515625	165.29299926757812	104.48333740234375	84.62446594238281	90.58111572265625
cont_P02666	CSN2	Bos taurus	26.791702270507812	46.0139274597168	36.639923095703125	48.02718734741211	29.708538055419922	305.1629333496094	35.654510498046875	35.457088470458984	19.694597244262695	29.596229553222656	NaN	289.4043884277344	145.28021240234375	213.87721252441406	190.74124145507812	431.601806640625	372.8076171875	337.4316101074219	396.9888610839844	205.19528198242188	123.79068756103516	111.30004119873047	120.89671325683594	69.90960693359375	144.2062225341797	95.79893493652344	89.5346908569336	126.16184997558594	125.31537628173828	120.51467895507812	148.94187927246094	310.5826721191406	222.4493865966797	224.34451293945312	227.85894775390625	416.7188415527344	78.6966552734375	NaN	54.5241584777832	43.352848052978516	71.3296127319336	NaN	36.257808685302734	112.67943572998047	146.30174255371094	134.93101501464844	221.82896423339844	310.88446044921875	157.8492889404297	92.41014862060547	65.62842559814453	93.01933288574219
