x	y
30	1.10845
29.99	1.10846
29.98	1.10846
29.97	1.10846
29.96	1.10846
29.95	1.10847
29.94	1.10847
29.93	1.10847
29.92	1.10848
29.91	1.10848
29.9	1.10848
29.89	1.10849
29.88	1.10849
29.87	1.10849
29.86	1.10849
29.85	1.1085
29.84	1.1085
29.83	1.1085
29.82	1.10851
29.81	1.10851
29.8	1.10851
29.79	1.10852
29.78	1.10852
29.77	1.10852
29.76	1.10852
29.75	1.10853
29.74	1.10853
29.73	1.10853
29.72	1.10854
29.71	1.10854
29.7	1.10854
29.69	1.10855
29.68	1.10855
29.67	1.10855
29.66	1.10856
29.65	1.10856
29.64	1.10856
29.63	1.10856
29.62	1.10857
29.61	1.10857
29.6	1.10857
29.59	1.10858
29.58	1.10858
29.57	1.10858
29.56	1.10859
29.55	1.10859
29.54	1.10859
29.53	1.1086
29.52	1.1086
29.51	1.1086
29.5	1.1086
29.49	1.10861
29.48	1.10861
29.47	1.10861
29.46	1.10862
29.45	1.10862
29.44	1.10862
29.43	1.10863
29.42	1.10863
29.41	1.10863
29.4	1.10864
29.39	1.10864
29.38	1.10864
29.37	1.10865
29.36	1.10865
29.35	1.10865
29.34	1.10865
29.33	1.10866
29.32	1.10866
29.31	1.10866
29.3	1.10867
29.29	1.10867
29.28	1.10867
29.27	1.10868
29.26	1.10868
29.25	1.10868
29.24	1.10869
29.23	1.10869
29.22	1.10869
29.21	1.1087
29.2	1.1087
29.19	1.1087
29.18	1.10871
29.17	1.10871
29.16	1.10871
29.15	1.10872
29.14	1.10872
29.13	1.10872
29.12	1.10872
29.11	1.10873
29.1	1.10873
29.09	1.10873
29.08	1.10874
29.07	1.10874
29.06	1.10874
29.05	1.10875
29.04	1.10875
29.03	1.10875
29.02	1.10876
29.01	1.10876
29	1.10876
28.99	1.10877
28.98	1.10877
28.97	1.10877
28.96	1.10878
28.95	1.10878
28.94	1.10878
28.93	1.10879
28.92	1.10879
28.91	1.10879
28.9	1.1088
28.89	1.1088
28.88	1.1088
28.87	1.10881
28.86	1.10881
28.85	1.10881
28.84	1.10881
28.83	1.10882
28.82	1.10882
28.81	1.10882
28.8	1.10883
28.79	1.10883
28.78	1.10883
28.77	1.10884
28.76	1.10884
28.75	1.10884
28.74	1.10885
28.73	1.10885
28.72	1.10885
28.71	1.10886
28.7	1.10886
28.69	1.10886
28.68	1.10887
28.67	1.10887
28.66	1.10887
28.65	1.10888
28.64	1.10888
28.63	1.10888
28.62	1.10889
28.61	1.10889
28.6	1.10889
28.59	1.1089
28.58	1.1089
28.57	1.1089
28.56	1.10891
28.55	1.10891
28.54	1.10891
28.53	1.10892
28.52	1.10892
28.51	1.10892
28.5	1.10893
28.49	1.10893
28.48	1.10893
28.47	1.10894
28.46	1.10894
28.45	1.10894
28.44	1.10895
28.43	1.10895
28.42	1.10895
28.41	1.10896
28.4	1.10896
28.39	1.10896
28.38	1.10897
28.37	1.10897
28.36	1.10897
28.35	1.10898
28.34	1.10898
28.33	1.10898
28.32	1.10899
28.31	1.10899
28.3	1.10899
28.29	1.109
28.28	1.109
28.27	1.109
28.26	1.10901
28.25	1.10901
28.24	1.10901
28.23	1.10902
28.22	1.10902
28.21	1.10902
28.2	1.10903
28.19	1.10903
28.18	1.10903
28.17	1.10904
28.16	1.10904
28.15	1.10905
28.14	1.10905
28.13	1.10905
28.12	1.10906
28.11	1.10906
28.1	1.10906
28.09	1.10907
28.08	1.10907
28.07	1.10907
28.06	1.10908
28.05	1.10908
28.04	1.10908
28.03	1.10909
28.02	1.10909
28.01	1.10909
28	1.1091
27.99	1.1091
27.98	1.1091
27.97	1.10911
27.96	1.10911
27.95	1.10911
27.94	1.10912
27.93	1.10912
27.92	1.10912
27.91	1.10913
27.9	1.10913
27.89	1.10913
27.88	1.10914
27.87	1.10914
27.86	1.10915
27.85	1.10915
27.84	1.10915
27.83	1.10916
27.82	1.10916
27.81	1.10916
27.8	1.10917
27.79	1.10917
27.78	1.10917
27.77	1.10918
27.76	1.10918
27.75	1.10918
27.74	1.10919
27.73	1.10919
27.72	1.10919
27.71	1.1092
27.7	1.1092
27.69	1.1092
27.68	1.10921
27.67	1.10921
27.66	1.10922
