[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.Quantity	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.Quantity	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.Quantity	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.Quantity	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.Quantity	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.Quantity	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.Quantity	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.Quantity	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.Quantity	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.Quantity	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.Quantity	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.Quantity	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.Quantity	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.Quantity	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.Quantity	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.Quantity	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.Quantity	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.Quantity	T: PG.Genes
20.0597	19.9601	21.1569	NaN	NaN	NaN	NaN	NaN	NaN	20.2132	19.414	22.8089	NaN	NaN	NaN	NaN	NaN	NaN	ybzH
15.6796	15.3061	14.5032	NaN	NaN	NaN	15.9751	16.1919	16.281	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	bsdD
15.891	16.9584	17.1011	16.2941	NaN	16.9147	21.589	19.3914	20.0287	15.0836	18.5626	19.1945	16.3922	17.9915	17.4973	NaN	NaN	NaN	mtlF
14.5726	15.2818	16.862	NaN	NaN	NaN	17.2013	17.4456	17.543	NaN	NaN	NaN	11.3911	11.8449	10.796	NaN	NaN	NaN	yczO
13.9168	12.2147	13.9517	16.7014	16.1888	15.5928	NaN	NaN	NaN	17.6765	17.7403	17.9681	NaN	NaN	NaN	NaN	NaN	NaN	ytlA
20.9175	21.0096	21.0746	21.2812	21.7618	21.6446	21.5419	20.5911	20.8492	21.0375	21.0157	20.4349	20.0676	20.1353	20.1403	NaN	NaN	NaN	yukE
18.454	17.6575	17.2432	18.3876	18.2657	20.0977	NaN	NaN	NaN	17.0606	16.0304	18.6259	NaN	NaN	NaN	NaN	NaN	NaN	sftA
19.8414	19.3838	20.2751	18.9713	19.2304	19.41	21.193	20.8242	22.3268	16.9504	17.0932	16.7309	NaN	NaN	NaN	NaN	NaN	NaN	yhfQ
17.3266	17.4405	17.9632	18.2385	18.1736	18.1656	NaN	NaN	NaN	16.6497	18.5063	18.6754	NaN	NaN	NaN	NaN	NaN	NaN	cutJ
16.9222	18.1192	17.8874	18.7192	18.9667	19.2527	NaN	NaN	NaN	15.7147	17.3814	17.2353	NaN	NaN	NaN	NaN	NaN	NaN	yukB
17.6801	18.4813	17.3092	NaN	NaN	NaN	13.2349	12.1248	13.0452	18.2218	16.3764	17.1017	21.4903	22.2407	22.726	NaN	NaN	NaN	yukJ
15.5587	15.0111	14.6201	14.9203	14.3421	14.2292	NaN	NaN	NaN	12.1514	11.3626	11.4177	NaN	NaN	NaN	NaN	NaN	NaN	ALB
17.4483	19.4576	15.3854	16.8649	17.8163	17.8101	20.983	20.8676	20.9327	18.5668	18.6729	18.817	NaN	NaN	NaN	NaN	NaN	NaN	KRT1
18.4575	18.6414	18.7496	NaN	NaN	NaN	17.9498	18.0004	17.7601	13.8315	13.5127	13.7134	NaN	NaN	NaN	NaN	NaN	NaN	KRT9
14.8832	14.3755	14.3213	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ywrF
16.5388	16.5709	16.6055	19.5692	19.4622	19.5076	16.2803	16.1414	15.7496	18.809	18.2658	18.7447	NaN	NaN	NaN	NaN	NaN	NaN	yugJ
16.4323	16.9006	16.9905	18.24	17.9045	17.2248	19.8149	19.5232	20.1399	17.3864	17.6899	18.52	NaN	NaN	NaN	NaN	NaN	NaN	yugK
16.5745	16.0297	16.4537	18.9008	18.5528	19.2739	NaN	NaN	NaN	16.2307	16.8848	16.5955	16.3984	16.9357	17.0759	NaN	NaN	NaN	yugT
19.0281	20.0391	20.9231	NaN	NaN	NaN	NaN	NaN	NaN	18.1934	18.7217	19.3803	NaN	NaN	NaN	NaN	NaN	NaN	maeN
17.8513	17.1574	18.2429	16.4891	18.3778	19.6992	18.0092	19.4886	18.5284	13.9062	13.8989	13.4651	NaN	NaN	NaN	NaN	NaN	NaN	iolU
18.3822	18.6377	18.5826	17.8086	18.3322	18.7534	16.3529	16.545	17.0353	15.1596	15.7926	15.7897	NaN	NaN	NaN	NaN	NaN	NaN	yumC
15.932	16.4157	16.1199	15.5983	15.7289	14.7748	NaN	NaN	NaN	12.3137	11.2795	11.4029	NaN	NaN	NaN	NaN	NaN	NaN	guaC
12.8899	10.0205	12.9111	16.9343	18.1931	18.5684	NaN	NaN	NaN	13.4853	13.6078	13.9319	NaN	NaN	NaN	NaN	NaN	NaN	asnO
15.6836	13.3963	17.7314	20.4201	20.387	20.5609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yrhD
15.3463	15.1951	17.725	NaN	NaN	NaN	NaN	NaN	NaN	13.5705	14.5616	20.0596	NaN	NaN	NaN	NaN	NaN	NaN	gmuD
19.0063	19.2113	19.4713	NaN	NaN	NaN	NaN	NaN	NaN	18.9251	19.2599	19.0525	NaN	NaN	NaN	NaN	NaN	NaN	gmuE
20.7419	20.6413	20.7668	21.2346	21.2607	21.3532	20.7701	20.7453	20.8704	19.475	18.7566	19.4924	NaN	NaN	NaN	21.0649	21.2032	21.2294	tsaE
19.2477	19.2216	19.3352	20.5134	20.2969	19.9502	17.6558	18.2471	17.1335	18.7894	18.3431	18.1644	18.9043	19.755	18.7966	17.5152	16.9981	18.1237	tsaD
19.7054	19.7645	19.9058	19.7059	19.9726	20.2043	21.6305	22.0039	21.8265	19.744	19.6826	19.5155	NaN	NaN	NaN	NaN	NaN	NaN	tatAy
19.0657	19.2128	18.6693	NaN	NaN	NaN	20.4664	20.3865	19.4317	19.6038	19.8673	19.451	19.8169	19.9347	18.7121	NaN	NaN	NaN	yraA
14.3559	12.8045	14.9862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yfmR
16.4745	16.8523	16.6953	17.505	17.465	17.4888	19.6496	19.6104	19.6401	14.7794	15.1505	14.6642	NaN	NaN	NaN	NaN	NaN	NaN	yfmT
16.8944	17.4385	17.3185	19.7756	19.4522	19.5707	NaN	NaN	NaN	17.2457	17.5589	17.1519	NaN	NaN	NaN	NaN	NaN	NaN	yfnG
21.7302	21.6611	21.6235	21.8718	21.783	21.8184	21.7958	21.8172	21.8562	17.7069	17.3951	17.5576	21.2779	20.5014	20.8103	NaN	NaN	NaN	gatA
14.0457	12.9474	15.1769	19.5624	21.5533	19.9634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	gatC
16.0434	16.0441	16.1332	NaN	NaN	NaN	NaN	NaN	NaN	16.4891	16.7045	17.6068	NaN	NaN	NaN	NaN	NaN	NaN	yisK
19.8028	18.8306	19.8565	14.9528	15.2708	16.3834	19.9237	20.2029	19.1791	18.2732	18.0906	19.13	11.7646	12.8291	12.3468	12.5292	13.0642	12.1578	yitK
18.5052	18.8561	18.7778	18.3843	19.0627	19.9501	20.7318	20.702	20.7594	20.1083	19.419	20.4795	NaN	NaN	NaN	NaN	NaN	NaN	yitL
19.1875	18.9819	18.8703	NaN	NaN	NaN	19.6003	19.5557	19.5564	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yitQ
15.7388	15.703	17.3721	NaN	NaN	NaN	19.5627	19.2268	19.3631	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yvcI
17.0341	16.7233	17.2289	16.7587	16.6095	16.399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	mgfK
18.6146	21.1574	20.3445	21.422	20.7695	20.2004	21.1006	20.9286	21.1036	20.6382	20.3387	20.5661	NaN	NaN	NaN	NaN	NaN	NaN	whiA
14.0787	13.6543	14.3782	17.1336	16.9392	17.0026	NaN	NaN	NaN	16.0734	16.76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	mdxE
