x	y
30	0.64767
29.99	0.647671
29.98	0.647673
29.97	0.647674
29.96	0.647675
29.95	0.647676
29.94	0.647677
29.93	0.647679
29.92	0.64768
29.91	0.647681
29.9	0.647682
29.89	0.647683
29.88	0.647684
29.87	0.647686
29.86	0.647687
29.85	0.647688
29.84	0.647689
29.83	0.64769
29.82	0.647692
29.81	0.647693
29.8	0.647694
29.79	0.647695
29.78	0.647696
29.77	0.647697
29.76	0.647699
29.75	0.6477
29.74	0.647701
29.73	0.647702
29.72	0.647703
29.71	0.647705
29.7	0.647706
29.69	0.647707
29.68	0.647708
29.67	0.647709
29.66	0.647711
29.65	0.647712
29.64	0.647713
29.63	0.647714
29.62	0.647715
29.61	0.647717
29.6	0.647718
29.59	0.647719
29.58	0.64772
29.57	0.647721
29.56	0.647723
29.55	0.647724
29.54	0.647725
29.53	0.647726
29.52	0.647727
29.51	0.647729
29.5	0.64773
29.49	0.647731
29.48	0.647732
29.47	0.647734
29.46	0.647735
29.45	0.647736
29.44	0.647737
29.43	0.647738
29.42	0.64774
29.41	0.647741
29.4	0.647742
29.39	0.647743
29.38	0.647744
29.37	0.647746
29.36	0.647747
29.35	0.647748
29.34	0.647749
29.33	0.647751
29.32	0.647752
29.31	0.647753
29.3	0.647754
29.29	0.647756
29.28	0.647757
29.27	0.647758
29.26	0.647759
29.25	0.64776
29.24	0.647762
29.23	0.647763
29.22	0.647764
29.21	0.647765
29.2	0.647767
29.19	0.647768
29.18	0.647769
29.17	0.64777
29.16	0.647772
29.15	0.647773
29.14	0.647774
29.13	0.647775
29.12	0.647777
29.11	0.647778
29.1	0.647779
29.09	0.64778
29.08	0.647782
29.07	0.647783
29.06	0.647784
29.05	0.647785
29.04	0.647787
29.03	0.647788
29.02	0.647789
29.01	0.64779
29	0.647792
28.99	0.647793
28.98	0.647794
28.97	0.647795
28.96	0.647797
28.95	0.647798
28.94	0.647799
28.93	0.6478
28.92	0.647802
28.91	0.647803
28.9	0.647804
28.89	0.647805
28.88	0.647807
28.87	0.647808
28.86	0.647809
28.85	0.64781
28.84	0.647812
28.83	0.647813
28.82	0.647814
28.81	0.647816
28.8	0.647817
28.79	0.647818
28.78	0.647819
28.77	0.647821
28.76	0.647822
28.75	0.647823
28.74	0.647824
28.73	0.647826
28.72	0.647827
28.71	0.647828
28.7	0.64783
28.69	0.647831
28.68	0.647832
28.67	0.647833
28.66	0.647835
28.65	0.647836
28.64	0.647837
28.63	0.647839
28.62	0.64784
28.61	0.647841
28.6	0.647842
28.59	0.647844
28.58	0.647845
28.57	0.647846
28.56	0.647848
28.55	0.647849
28.54	0.64785
28.53	0.647852
28.52	0.647853
28.51	0.647854
28.5	0.647855
28.49	0.647857
28.48	0.647858
28.47	0.647859
28.46	0.647861
28.45	0.647862
28.44	0.647863
28.43	0.647865
28.42	0.647866
28.41	0.647867
28.4	0.647868
28.39	0.64787
28.38	0.647871
28.37	0.647872
28.36	0.647874
28.35	0.647875
28.34	0.647876
28.33	0.647878
28.32	0.647879
28.31	0.64788
28.3	0.647882
28.29	0.647883
28.28	0.647884
28.27	0.647886
28.26	0.647887
28.25	0.647888
28.24	0.647889
28.23	0.647891
28.22	0.647892
28.21	0.647893
28.2	0.647895
28.19	0.647896
28.18	0.647897
28.17	0.647899
