x	y
30	0.547707
29.99	0.547708
29.98	0.547709
29.97	0.54771
29.96	0.547711
29.95	0.547712
29.94	0.547713
29.93	0.547714
29.92	0.547715
29.91	0.547715
29.9	0.547716
29.89	0.547717
29.88	0.547718
29.87	0.547719
29.86	0.54772
29.85	0.547721
29.84	0.547722
29.83	0.547722
29.82	0.547723
29.81	0.547724
29.8	0.547725
29.79	0.547726
29.78	0.547727
29.77	0.547728
29.76	0.547729
29.75	0.547729
29.74	0.54773
29.73	0.547731
29.72	0.547732
29.71	0.547733
29.7	0.547734
29.69	0.547735
29.68	0.547736
29.67	0.547737
29.66	0.547737
29.65	0.547738
29.64	0.547739
29.63	0.54774
29.62	0.547741
29.61	0.547742
29.6	0.547743
29.59	0.547744
29.58	0.547745
29.57	0.547745
29.56	0.547746
29.55	0.547747
29.54	0.547748
29.53	0.547749
29.52	0.54775
29.51	0.547751
29.5	0.547752
29.49	0.547753
29.48	0.547754
29.47	0.547754
29.46	0.547755
29.45	0.547756
29.44	0.547757
29.43	0.547758
29.42	0.547759
29.41	0.54776
29.4	0.547761
29.39	0.547762
29.38	0.547763
29.37	0.547764
29.36	0.547764
29.35	0.547765
29.34	0.547766
29.33	0.547767
29.32	0.547768
29.31	0.547769
29.3	0.54777
29.29	0.547771
29.28	0.547772
29.27	0.547773
29.26	0.547774
29.25	0.547774
29.24	0.547775
29.23	0.547776
29.22	0.547777
29.21	0.547778
29.2	0.547779
29.19	0.54778
29.18	0.547781
29.17	0.547782
29.16	0.547783
29.15	0.547784
29.14	0.547785
29.13	0.547786
29.12	0.547786
29.11	0.547787
29.1	0.547788
29.09	0.547789
29.08	0.54779
29.07	0.547791
29.06	0.547792
29.05	0.547793
29.04	0.547794
29.03	0.547795
29.02	0.547796
29.01	0.547797
29	0.547798
28.99	0.547799
28.98	0.547799
28.97	0.5478
28.96	0.547801
28.95	0.547802
28.94	0.547803
28.93	0.547804
28.92	0.547805
28.91	0.547806
28.9	0.547807
28.89	0.547808
28.88	0.547809
28.87	0.54781
28.86	0.547811
28.85	0.547812
28.84	0.547813
28.83	0.547813
28.82	0.547814
28.81	0.547815
28.8	0.547816
28.79	0.547817
28.78	0.547818
28.77	0.547819
28.76	0.54782
28.75	0.547821
28.74	0.547822
28.73	0.547823
28.72	0.547824
28.71	0.547825
28.7	0.547826
28.69	0.547827
28.68	0.547828
28.67	0.547829
28.66	0.54783
28.65	0.547831
28.64	0.547832
28.63	0.547832
28.62	0.547833
28.61	0.547834
28.6	0.547835
28.59	0.547836
28.58	0.547837
28.57	0.547838
28.56	0.547839
28.55	0.54784
28.54	0.547841
28.53	0.547842
28.52	0.547843
28.51	0.547844
28.5	0.547845
28.49	0.547846
28.48	0.547847
28.47	0.547848
28.46	0.547849
28.45	0.54785
28.44	0.547851
28.43	0.547852
28.42	0.547853
28.41	0.547854
28.4	0.547855
28.39	0.547856
28.38	0.547857
28.37	0.547858
28.36	0.547859
28.35	0.547859
28.34	0.547861
28.33	0.547861
28.32	0.547862
28.31	0.547863
28.3	0.547864
