x	y
30	0.552873
29.99	0.552874
29.98	0.552875
29.97	0.552876
29.96	0.552877
29.95	0.552878
29.94	0.552879
29.93	0.55288
29.92	0.552881
29.91	0.552881
29.9	0.552882
29.89	0.552883
29.88	0.552884
29.87	0.552885
29.86	0.552886
29.85	0.552887
29.84	0.552888
29.83	0.552889
29.82	0.552889
29.81	0.55289
29.8	0.552891
29.79	0.552892
29.78	0.552893
29.77	0.552894
29.76	0.552895
29.75	0.552896
29.74	0.552897
29.73	0.552898
29.72	0.552898
29.71	0.552899
29.7	0.5529
29.69	0.552901
29.68	0.552902
29.67	0.552903
29.66	0.552904
29.65	0.552905
29.64	0.552906
29.63	0.552907
29.62	0.552907
29.61	0.552908
29.6	0.552909
29.59	0.55291
29.58	0.552911
29.57	0.552912
29.56	0.552913
29.55	0.552914
29.54	0.552915
29.53	0.552916
29.52	0.552917
29.51	0.552917
29.5	0.552918
29.49	0.552919
29.48	0.55292
29.47	0.552921
29.46	0.552922
29.45	0.552923
29.44	0.552924
29.43	0.552925
29.42	0.552926
29.41	0.552927
29.4	0.552928
29.39	0.552929
29.38	0.552929
29.37	0.55293
29.36	0.552931
29.35	0.552932
29.34	0.552933
29.33	0.552934
29.32	0.552935
29.31	0.552936
29.3	0.552937
29.29	0.552938
29.28	0.552939
29.27	0.55294
29.26	0.552941
29.25	0.552942
29.24	0.552942
29.23	0.552943
29.22	0.552944
29.21	0.552945
29.2	0.552946
29.19	0.552947
29.18	0.552948
29.17	0.552949
29.16	0.55295
29.15	0.552951
29.14	0.552952
29.13	0.552953
29.12	0.552954
29.11	0.552955
29.1	0.552956
29.09	0.552956
29.08	0.552957
29.07	0.552958
29.06	0.552959
29.05	0.55296
29.04	0.552961
29.03	0.552962
29.02	0.552963
29.01	0.552964
29	0.552965
28.99	0.552966
28.98	0.552967
28.97	0.552968
28.96	0.552969
28.95	0.55297
28.94	0.552971
28.93	0.552972
28.92	0.552973
28.91	0.552974
28.9	0.552974
28.89	0.552975
28.88	0.552976
28.87	0.552977
28.86	0.552978
28.85	0.552979
28.84	0.55298
28.83	0.552981
28.82	0.552982
28.81	0.552983
28.8	0.552984
28.79	0.552985
28.78	0.552986
28.77	0.552987
28.76	0.552988
28.75	0.552989
28.74	0.55299
28.73	0.552991
28.72	0.552992
28.71	0.552993
28.7	0.552994
28.69	0.552995
28.68	0.552996
28.67	0.552997
28.66	0.552998
28.65	0.552999
28.64	0.552999
28.63	0.553
28.62	0.553001
28.61	0.553002
28.6	0.553003
28.59	0.553004
28.58	0.553005
28.57	0.553006
28.56	0.553007
28.55	0.553008
28.54	0.553009
28.53	0.55301
28.52	0.553011
28.51	0.553012
28.5	0.553013
28.49	0.553014
28.48	0.553015
28.47	0.553016
28.46	0.553017
28.45	0.553018
28.44	0.553019
28.43	0.55302
28.42	0.553021
28.41	0.553022
28.4	0.553023
28.39	0.553024
28.38	0.553025
28.37	0.553026
28.36	0.553027
28.35	0.553028
28.34	0.553029
28.33	0.55303
28.32	0.553031
28.31	0.553032
28.3	0.553033
28.29	0.553034
28.28	0.553035
28.27	0.553036
28.26	0.553037
28.25	0.553038
28.24	0.553039
28.23	0.55304
28.22	0.553041
28.21	0.553042
28.2	0.553043
28.19	0.553044
28.18	0.553045
28.17	0.553046
28.16	0.553047
28.15	0.553048
28.14	0.553049
28.13	0.55305
28.12	0.553051
28.11	0.553052
28.1	0.553053
28.09	0.553054
28.08	0.553055
28.07	0.553056
28.06	0.553057
28.05	0.553058
28.04	0.553059
28.03	0.55306
28.02	0.553061
28.01	0.553062
28	0.553063
27.99	0.553064
27.98	0.553065
27.97	0.553066
27.96	0.553067
27.95	0.553068
27.94	0.553069
27.93	0.55307
27.92	0.553071
27.91	0.553072
27.9	0.553073
27.89	0.553074
27.88	0.553075
27.87	0.553076
27.86	0.553077
27.85	0.553078
27.84	0.553079
27.83	0.55308
27.82	0.553082
27.81	0.553083
27.8	0.553084
27.79	0.553085
27.78	0.553086
27.77	0.553087
27.76	0.553088
27.75	0.553089
27.74	0.55309
27.73	0.553091
27.72	0.553092
27.71	0.553093
27.7	0.553094
27.69	0.553095
27.68	0.553096
27.67	0.553097
27.66	0.553098
27.65	0.553099
27.64	0.5531
27.63	0.553101
27.62	0.553102
27.61	0.553103
27.6	0.553104
27.59	0.553105
27.58	0.553106
27.57	0.553108
27.56	0.553109
27.55	0.55311
27.54	0.553111
27.53	0.553112
27.52	0.553113
27.51	0.553114
27.5	0.553115
27.49	0.553116
27.48	0.553117
27.47	0.553118
27.46	0.553119
27.45	0.55312
27.44	0.553121
27.43	0.553122
27.42	0.553123
27.41	0.553124
27.4	0.553125
27.39	0.553127
27.38	0.553128
27.37	0.553129
27.36	0.55313
27.35	0.553131
27.34	0.553132
27.33	0.553133
27.32	0.553134
27.31	0.553135
27.3	0.553136
27.29	0.553137
27.28	0.553138
27.27	0.553139
27.26	0.55314
27.25	0.553141
27.24	0.553142
27.23	0.553144
27.22	0.553145
27.21	0.553146
27.2	0.553147
27.19	0.553148
27.18	0.553149
27.17	0.55315
27.16	0.553151
27.15	0.553152
27.14	0.553153
27.13	0.553154
27.12	0.553155
27.11	0.553157
27.1	0.553158
27.09	0.553159
27.08	0.55316
27.07	0.553161
27.06	0.553162
27.05	0.553163
27.04	0.553164
27.03	0.553165
27.02	0.553166
27.01	0.553167
27	0.553169
26.99	0.55317
26.98	0.553171
26.97	0.553172
26.96	0.553173
26.95	0.553174
26.94	0.553175
26.93	0.553176
26.92	0.553177
26.91	0.553178
26.9	0.55318
26.89	0.553181
26.88	0.553182
26.87	0.553183
26.86	0.553184
26.85	0.553185
26.84	0.553186
26.83	0.553187
26.82	0.553188
26.81	0.553189
26.8	0.553191
26.79	0.553192
26.78	0.553193
26.77	0.553194
26.76	0.553195
26.75	0.553196
26.74	0.553197
26.73	0.553198
26.72	0.553199
26.71	0.553201
26.7	0.553202
26.69	0.553203
26.68	0.553204
26.67	0.553205
26.66	0.553206
26.65	0.553207
26.64	0.553208
26.63	0.55321
26.62	0.553211
26.61	0.553212
26.6	0.553213
26.59	0.553214
26.58	0.553215
26.57	0.553216
26.56	0.553217
26.55	0.553219
26.54	0.55322
26.53	0.553221
26.52	0.553222
26.51	0.553223
26.5	0.553224
26.49	0.553225
26.48	0.553227
26.47	0.553228
26.46	0.553229
26.45	0.55323
26.44	0.553231
26.43	0.553232
26.42	0.553233
26.41	0.553235
26.4	0.553236
26.39	0.553237
26.38	0.553238
26.37	0.553239
26.36	0.55324
26.35	0.553241
26.34	0.553243
26.33	0.553244
26.32	0.553245
26.31	0.553246
26.3	0.553247
26.29	0.553248
26.28	0.553249
26.27	0.553251
26.26	0.553252
26.25	0.553253
26.24	0.553254
26.23	0.553255
26.22	0.553256
26.21	0.553258
26.2	0.553259
26.19	0.55326
26.18	0.553261
26.17	0.553262
26.16	0.553263
26.15	0.553264
26.14	0.553266
26.13	0.553267
26.12	0.553268
26.11	0.553269
26.1	0.55327
26.09	0.553272
26.08	0.553273
26.07	0.553274
26.06	0.553275
26.05	0.553276
26.04	0.553277
26.03	0.553279
26.02	0.55328
26.01	0.553281
26	0.553282
25.99	0.553283
25.98	0.553284
25.97	0.553286
25.96	0.553287
25.95	0.553288
25.94	0.553289
25.93	0.55329
25.92	0.553292
25.91	0.553293
25.9	0.553294
25.89	0.553295
25.88	0.553296
25.87	0.553298
25.86	0.553299
25.85	0.5533
25.84	0.553301
25.83	0.553302
25.82	0.553303
25.81	0.553305
25.8	0.553306
25.79	0.553307
25.78	0.553308
25.77	0.55331
25.76	0.553311
25.75	0.553312
25.74	0.553313
25.73	0.553314
25.72	0.553316
25.71	0.553317
25.7	0.553318
25.69	0.553319
25.68	0.55332
25.67	0.553322
25.66	0.553323
25.65	0.553324
25.64	0.553325
25.63	0.553326
25.62	0.553328
25.61	0.553329
25.6	0.55333
25.59	0.553331
25.58	0.553333
25.57	0.553334
25.56	0.553335
25.55	0.553336
25.54	0.553337
25.53	0.553339
25.52	0.55334
25.51	0.553341
25.5	0.553342
25.49	0.553343
25.48	0.553345
25.47	0.553346
25.46	0.553347
25.45	0.553348
25.44	0.55335
25.43	0.553351
25.42	0.553352
25.41	0.553353
25.4	0.553355
25.39	0.553356
25.38	0.553357
25.37	0.553358
25.36	0.55336
25.35	0.553361
25.34	0.553362
25.33	0.553363
25.32	0.553365
25.31	0.553366
25.3	0.553367
25.29	0.553368
25.28	0.55337
25.27	0.553371
25.26	0.553372
25.25	0.553373
25.24	0.553374
25.23	0.553376
25.22	0.553377
25.21	0.553378
25.2	0.55338
25.19	0.553381
25.18	0.553382
25.17	0.553383
25.16	0.553385
25.15	0.553386
25.14	0.553387
25.13	0.553388
25.12	0.55339
25.11	0.553391
25.1	0.553392
25.09	0.553393
25.08	0.553395
25.07	0.553396
25.06	0.553397
25.05	0.553398
25.04	0.5534
25.03	0.553401
25.02	0.553402
25.01	0.553404
25	0.553405
24.99	0.553406
24.98	0.553407
24.97	0.553409
24.96	0.55341
24.95	0.553411
24.94	0.553412
24.93	0.553414
24.92	0.553415
24.91	0.553416
24.9	0.553418
24.89	0.553419
24.88	0.55342
24.87	0.553421
24.86	0.553423
24.85	0.553424
24.84	0.553425
24.83	0.553427
24.82	0.553428
24.81	0.553429
24.8	0.553431
24.79	0.553432
24.78	0.553433
24.77	0.553434
24.76	0.553436
24.75	0.553437
24.74	0.553438
24.73	0.55344
24.72	0.553441
24.71	0.553442
24.7	0.553444
24.69	0.553445
24.68	0.553446
24.67	0.553448
24.66	0.553449
24.65	0.55345
24.64	0.553451
24.63	0.553453
24.62	0.553454
24.61	0.553455
24.6	0.553457
24.59	0.553458
24.58	0.553459
24.57	0.553461
24.56	0.553462
24.55	0.553463
24.54	0.553465
24.53	0.553466
24.52	0.553467
24.51	0.553469
24.5	0.55347
24.49	0.553471
24.48	0.553473
24.47	0.553474
24.46	0.553475
24.45	0.553477
24.44	0.553478
24.43	0.553479
24.42	0.553481
24.41	0.553482
24.4	0.553483
24.39	0.553485
24.38	0.553486
24.37	0.553487
24.36	0.553489
24.35	0.55349
24.34	0.553491
24.33	0.553493
24.32	0.553494
24.31	0.553495
24.3	0.553497
24.29	0.553498
24.28	0.5535
24.27	0.553501
24.26	0.553502
24.25	0.553504
24.24	0.553505
24.23	0.553506
24.22	0.553508
24.21	0.553509
24.2	0.55351
24.19	0.553512
24.18	0.553513
24.17	0.553514
24.16	0.553516
24.15	0.553517
24.14	0.553519
24.13	0.55352
24.12	0.553521
24.11	0.553523
24.1	0.553524
24.09	0.553525
24.08	0.553527
24.07	0.553528
24.06	0.55353
24.05	0.553531
24.04	0.553532
24.03	0.553534
24.02	0.553535
24.01	0.553536
24	0.553538
23.99	0.553539
23.98	0.553541
23.97	0.553542
23.96	0.553543
23.95	0.553545
23.94	0.553546
23.93	0.553548
23.92	0.553549
23.91	0.55355
23.9	0.553552
23.89	0.553553
23.88	0.553555
23.87	0.553556
23.86	0.553557
23.85	0.553559
23.84	0.55356
23.83	0.553562
23.82	0.553563
23.81	0.553564
23.8	0.553566
23.79	0.553567
23.78	0.553569
23.77	0.55357
23.76	0.553571
23.75	0.553573
23.74	0.553574
23.73	0.553576
23.72	0.553577
23.71	0.553578
23.7	0.55358
23.69	0.553581
23.68	0.553583
23.67	0.553584
23.66	0.553586
23.65	0.553587
23.64	0.553589
23.63	0.55359
23.62	0.553591
23.61	0.553593
23.6	0.553594
23.59	0.553596
23.58	0.553597
23.57	0.553599
23.56	0.5536
23.55	0.553601
23.54	0.553603
23.53	0.553604
23.52	0.553606
23.51	0.553607
23.5	0.553609
23.49	0.55361
23.48	0.553612
23.47	0.553613
23.46	0.553614
23.45	0.553616
23.44	0.553617
23.43	0.553619
23.42	0.55362
23.41	0.553622
23.4	0.553623
23.39	0.553625
23.38	0.553626
23.37	0.553627
23.36	0.553629
23.35	0.55363
23.34	0.553632
23.33	0.553633
23.32	0.553635
23.31	0.553636
23.3	0.553638
23.29	0.553639
23.28	0.553641
23.27	0.553642
23.26	0.553644
23.25	0.553645
23.24	0.553647
23.23	0.553648
23.22	0.55365
23.21	0.553651
23.2	0.553653
23.19	0.553654
23.18	0.553656
23.17	0.553657
23.16	0.553658
23.15	0.55366
23.14	0.553661
23.13	0.553663
23.12	0.553664
23.11	0.553666
23.1	0.553667
23.09	0.553669
23.08	0.55367
23.07	0.553672
23.06	0.553673
23.05	0.553675
23.04	0.553676
23.03	0.553678
23.02	0.553679
23.01	0.553681
23	0.553683
22.99	0.553684
22.98	0.553685
22.97	0.553687
22.96	0.553689
22.95	0.55369
22.94	0.553692
22.93	0.553693
22.92	0.553695
22.91	0.553696
22.9	0.553698
22.89	0.553699
22.88	0.553701
22.87	0.553702
22.86	0.553704
22.85	0.553705
22.84	0.553707
22.83	0.553708
22.82	0.55371
22.81	0.553711
22.8	0.553713
22.79	0.553714
22.78	0.553716
22.77	0.553718
22.76	0.553719
22.75	0.553721
22.74	0.553722
22.73	0.553724
22.72	0.553725
22.71	0.553727
22.7	0.553728
22.69	0.55373
22.68	0.553731
22.67	0.553733
22.66	0.553735
22.65	0.553736
22.64	0.553738
22.63	0.553739
22.62	0.553741
22.61	0.553742
22.6	0.553744
22.59	0.553746
22.58	0.553747
22.57	0.553749
22.56	0.55375
22.55	0.553752
22.54	0.553753
22.53	0.553755
22.52	0.553756
22.51	0.553758
22.5	0.55376
22.49	0.553761
22.48	0.553763
22.47	0.553764
22.46	0.553766
22.45	0.553768
22.44	0.553769
22.43	0.553771
22.42	0.553772
22.41	0.553774
