x	y
30	1.42335
29.99	1.42335
29.98	1.42336
29.97	1.42336
29.96	1.42337
29.95	1.42337
29.94	1.42338
29.93	1.42338
29.92	1.42339
29.91	1.42339
29.9	1.4234
29.89	1.4234
29.88	1.42341
29.87	1.42341
29.86	1.42342
29.85	1.42342
29.84	1.42343
29.83	1.42343
29.82	1.42344
29.81	1.42344
29.8	1.42345
29.79	1.42345
29.78	1.42346
29.77	1.42346
29.76	1.42347
29.75	1.42347
29.74	1.42348
29.73	1.42348
29.72	1.42349
29.71	1.4235
29.7	1.4235
29.69	1.42351
29.68	1.42351
29.67	1.42352
29.66	1.42352
29.65	1.42353
29.64	1.42353
29.63	1.42354
29.62	1.42354
29.61	1.42355
29.6	1.42355
29.59	1.42356
29.58	1.42356
29.57	1.42357
29.56	1.42357
29.55	1.42358
29.54	1.42358
29.53	1.42359
29.52	1.42359
29.51	1.4236
29.5	1.4236
29.49	1.42361
29.48	1.42361
29.47	1.42362
29.46	1.42362
29.45	1.42363
29.44	1.42363
29.43	1.42364
29.42	1.42364
29.41	1.42365
29.4	1.42365
29.39	1.42366
29.38	1.42366
29.37	1.42367
29.36	1.42367
29.35	1.42368
29.34	1.42369
29.33	1.42369
29.32	1.4237
29.31	1.4237
29.3	1.42371
29.29	1.42371
29.28	1.42372
29.27	1.42372
29.26	1.42373
29.25	1.42373
29.24	1.42374
29.23	1.42374
29.22	1.42375
29.21	1.42375
29.2	1.42376
29.19	1.42376
29.18	1.42377
29.17	1.42377
29.16	1.42378
29.15	1.42378
29.14	1.42379
29.13	1.4238
29.12	1.4238
29.11	1.42381
29.1	1.42381
29.09	1.42382
29.08	1.42382
29.07	1.42383
29.06	1.42383
29.05	1.42384
29.04	1.42384
29.03	1.42385
29.02	1.42385
29.01	1.42386
29	1.42386
28.99	1.42387
28.98	1.42388
28.97	1.42388
28.96	1.42389
28.95	1.42389
28.94	1.4239
28.93	1.4239
28.92	1.42391
28.91	1.42391
28.9	1.42392
28.89	1.42392
28.88	1.42393
28.87	1.42393
28.86	1.42394
28.85	1.42395
28.84	1.42395
28.83	1.42396
28.82	1.42396
28.81	1.42397
28.8	1.42397
28.79	1.42398
28.78	1.42398
28.77	1.42399
28.76	1.42399
28.75	1.424
28.74	1.424
28.73	1.42401
28.72	1.42402
28.71	1.42402
28.7	1.42403
28.69	1.42403
28.68	1.42404
28.67	1.42404
28.66	1.42405
28.65	1.42405
28.64	1.42406
28.63	1.42406
28.62	1.42407
28.61	1.42408
28.6	1.42408
28.59	1.42409
28.58	1.42409
28.57	1.4241
28.56	1.4241
28.55	1.42411
28.54	1.42411
28.53	1.42412
28.52	1.42412
28.51	1.42413
28.5	1.42414
28.49	1.42414
28.48	1.42415
28.47	1.42415
28.46	1.42416
28.45	1.42416
28.44	1.42417
28.43	1.42417
28.42	1.42418
28.41	1.42419
28.4	1.42419
28.39	1.4242
28.38	1.4242
28.37	1.42421
28.36	1.42421
28.35	1.42422
28.34	1.42422
28.33	1.42423
28.32	1.42424
28.31	1.42424
28.3	1.42425
28.29	1.42425
28.28	1.42426
28.27	1.42426
28.26	1.42427
28.25	1.42428
28.24	1.42428
28.23	1.42429
28.22	1.42429
28.21	1.4243
28.2	1.4243
28.19	1.42431
28.18	1.42431
28.17	1.42432
28.16	1.42433
28.15	1.42433
28.14	1.42434
28.13	1.42434
28.12	1.42435
28.11	1.42435
28.1	1.42436
28.09	1.42437
28.08	1.42437
28.07	1.42438
28.06	1.42438
28.05	1.42439
28.04	1.42439
28.03	1.4244
28.02	1.42441
28.01	1.42441
28	1.42442
27.99	1.42442
27.98	1.42443
27.97	1.42443
27.96	1.42444
27.95	1.42445
27.94	1.42445
27.93	1.42446
27.92	1.42446
27.91	1.42447
27.9	1.42447
27.89	1.42448
27.88	1.42449
27.87	1.42449
27.86	1.4245
27.85	1.4245
27.84	1.42451
27.83	1.42452
27.82	1.42452
27.81	1.42453
27.8	1.42453
27.79	1.42454
27.78	1.42454
27.77	1.42455
27.76	1.42456
27.75	1.42456
27.74	1.42457
27.73	1.42457
27.72	1.42458
27.71	1.42458
27.7	1.42459
27.69	1.4246
27.68	1.4246
27.67	1.42461
27.66	1.42461
27.65	1.42462
27.64	1.42463
27.63	1.42463
27.62	1.42464
27.61	1.42464
27.6	1.42465
27.59	1.42466
27.58	1.42466
27.57	1.42467
27.56	1.42467
27.55	1.42468
27.54	1.42469
27.53	1.42469
27.52	1.4247
27.51	1.4247
27.5	1.42471
27.49	1.42471
27.48	1.42472
27.47	1.42473
27.46	1.42473
27.45	1.42474
27.44	1.42474
27.43	1.42475
27.42	1.42476
27.41	1.42476
27.4	1.42477
27.39	1.42477
27.38	1.42478
27.37	1.42479
27.36	1.42479
27.35	1.4248
27.34	1.4248
27.33	1.42481
27.32	1.42482
27.31	1.42482
27.3	1.42483
27.29	1.42483
27.28	1.42484
27.27	1.42485
27.26	1.42485
27.25	1.42486
27.24	1.42486
27.23	1.42487
27.22	1.42488
27.21	1.42488
27.2	1.42489
27.19	1.42489
27.18	1.4249
27.17	1.42491
27.16	1.42491
27.15	1.42492
27.14	1.42493
27.13	1.42493
27.12	1.42494
27.11	1.42494
27.1	1.42495
27.09	1.42496
27.08	1.42496
27.07	1.42497
27.06	1.42497
27.05	1.42498
27.04	1.42499
27.03	1.42499
27.02	1.425
27.01	1.425
27	1.42501
26.99	1.42502
26.98	1.42502
26.97	1.42503
26.96	1.42504
26.95	1.42504
26.94	1.42505
26.93	1.42505
26.92	1.42506
26.91	1.42507
26.9	1.42507
26.89	1.42508
26.88	1.42509
26.87	1.42509
26.86	1.4251
26.85	1.4251
26.84	1.42511
26.83	1.42512
26.82	1.42512
26.81	1.42513
26.8	1.42514
26.79	1.42514
26.78	1.42515
26.77	1.42515
26.76	1.42516
26.75	1.42517
26.74	1.42517
26.73	1.42518
26.72	1.42519
26.71	1.42519
26.7	1.4252
26.69	1.4252
26.68	1.42521
26.67	1.42522
26.66	1.42522
26.65	1.42523
26.64	1.42524
26.63	1.42524
26.62	1.42525
26.61	1.42526
26.6	1.42526
26.59	1.42527
26.58	1.42527
26.57	1.42528
26.56	1.42529
26.55	1.42529
26.54	1.4253
26.53	1.42531
26.52	1.42531
26.51	1.42532
26.5	1.42533
26.49	1.42533
26.48	1.42534
26.47	1.42534
26.46	1.42535
26.45	1.42536
26.44	1.42536
26.43	1.42537
26.42	1.42538
26.41	1.42538
26.4	1.42539
26.39	1.4254
26.38	1.4254
26.37	1.42541
26.36	1.42542
26.35	1.42542
26.34	1.42543
26.33	1.42543
26.32	1.42544
26.31	1.42545
26.3	1.42545
26.29	1.42546
26.28	1.42547
26.27	1.42547
26.26	1.42548
26.25	1.42549
26.24	1.42549
26.23	1.4255
26.22	1.42551
26.21	1.42551
26.2	1.42552
26.19	1.42553
26.18	1.42553
26.17	1.42554
26.16	1.42555
26.15	1.42555
26.14	1.42556
26.13	1.42557
26.12	1.42557
26.11	1.42558
26.1	1.42559
26.09	1.42559
26.08	1.4256
26.07	1.4256
26.06	1.42561
26.05	1.42562
26.04	1.42562
26.03	1.42563
26.02	1.42564
26.01	1.42564
26	1.42565
25.99	1.42566
25.98	1.42566
25.97	1.42567
25.96	1.42568
25.95	1.42568
25.94	1.42569
25.93	1.4257
25.92	1.4257
25.91	1.42571
25.9	1.42572
25.89	1.42572
25.88	1.42573
25.87	1.42574
25.86	1.42574
25.85	1.42575
25.84	1.42576
25.83	1.42577
25.82	1.42577
25.81	1.42578
25.8	1.42579
25.79	1.42579
25.78	1.4258
25.77	1.42581
25.76	1.42581
25.75	1.42582
25.74	1.42583
25.73	1.42583
25.72	1.42584
25.71	1.42585
25.7	1.42585
25.69	1.42586
25.68	1.42587
25.67	1.42587
25.66	1.42588
25.65	1.42589
25.64	1.42589
25.63	1.4259
25.62	1.42591
25.61	1.42591
25.6	1.42592
25.59	1.42593
25.58	1.42594
25.57	1.42594
25.56	1.42595
25.55	1.42596
25.54	1.42596
25.53	1.42597
25.52	1.42598
25.51	1.42598
25.5	1.42599
25.49	1.426
25.48	1.426
25.47	1.42601
25.46	1.42602
25.45	1.42603
25.44	1.42603
25.43	1.42604
25.42	1.42605
25.41	1.42605
25.4	1.42606
25.39	1.42607
25.38	1.42607
25.37	1.42608
25.36	1.42609
25.35	1.42609
25.34	1.4261
25.33	1.42611
25.32	1.42612
25.31	1.42612
25.3	1.42613
25.29	1.42614
25.28	1.42614
25.27	1.42615
25.26	1.42616
25.25	1.42616
25.24	1.42617
25.23	1.42618
25.22	1.42619
25.21	1.42619
25.2	1.4262
25.19	1.42621
25.18	1.42621
25.17	1.42622
25.16	1.42623
25.15	1.42624
25.14	1.42624
25.13	1.42625
25.12	1.42626
25.11	1.42626
25.1	1.42627
25.09	1.42628
25.08	1.42629
25.07	1.42629
25.06	1.4263
25.05	1.42631
25.04	1.42631
25.03	1.42632
25.02	1.42633
25.01	1.42634
25	1.42634
24.99	1.42635
24.98	1.42636
24.97	1.42636
24.96	1.42637
24.95	1.42638
24.94	1.42639
24.93	1.42639
24.92	1.4264
24.91	1.42641
24.9	1.42642
24.89	1.42642
24.88	1.42643
24.87	1.42644
24.86	1.42644
24.85	1.42645
24.84	1.42646
24.83	1.42647
24.82	1.42647
24.81	1.42648
24.8	1.42649
24.79	1.4265
24.78	1.4265
24.77	1.42651
24.76	1.42652
24.75	1.42652
24.74	1.42653
24.73	1.42654
24.72	1.42655
24.71	1.42655
24.7	1.42656
24.69	1.42657
24.68	1.42658
24.67	1.42658
24.66	1.42659
24.65	1.4266
24.64	1.42661
24.63	1.42661
24.62	1.42662
24.61	1.42663
24.6	1.42664
24.59	1.42664
24.58	1.42665
24.57	1.42666
24.56	1.42667
24.55	1.42667
24.54	1.42668
24.53	1.42669
24.52	1.4267
24.51	1.4267
24.5	1.42671
24.49	1.42672
24.48	1.42673
24.47	1.42673
24.46	1.42674
24.45	1.42675
24.44	1.42676
24.43	1.42676
24.42	1.42677
24.41	1.42678
24.4	1.42679
24.39	1.42679
24.38	1.4268
24.37	1.42681
24.36	1.42682
24.35	1.42682
24.34	1.42683
24.33	1.42684
24.32	1.42685
24.31	1.42685
24.3	1.42686
24.29	1.42687
24.28	1.42688
24.27	1.42688
24.26	1.42689
24.25	1.4269
24.24	1.42691
24.23	1.42692
24.22	1.42692
24.21	1.42693
24.2	1.42694
24.19	1.42695
24.18	1.42695
24.17	1.42696
24.16	1.42697
24.15	1.42698
24.14	1.42698
24.13	1.42699
24.12	1.427
24.11	1.42701
24.1	1.42702
24.09	1.42702
24.08	1.42703
24.07	1.42704
24.06	1.42705
24.05	1.42705
24.04	1.42706
24.03	1.42707
24.02	1.42708
24.01	1.42709
24	1.42709
23.99	1.4271
23.98	1.42711
23.97	1.42712
23.96	1.42712
23.95	1.42713
23.94	1.42714
23.93	1.42715
23.92	1.42716
23.91	1.42716
23.9	1.42717
23.89	1.42718
23.88	1.42719
23.87	1.4272
23.86	1.4272
23.85	1.42721
23.84	1.42722
23.83	1.42723
23.82	1.42724
23.81	1.42724
23.8	1.42725
23.79	1.42726
23.78	1.42727
23.77	1.42727
