PG.ProteinGroups	PG.Genes	[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.QValue (Run-Wise)	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.QValue (Run-Wise)	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.QValue (Run-Wise)	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.QValue (Run-Wise)	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.QValue (Run-Wise)	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.QValue (Run-Wise)	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.QValue (Run-Wise)	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.QValue (Run-Wise)	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.QValue (Run-Wise)	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.QValue (Run-Wise)	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.QValue (Run-Wise)	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.QValue (Run-Wise)	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.QValue (Run-Wise)	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.QValue (Run-Wise)	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.QValue (Run-Wise)	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.QValue (Run-Wise)	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.QValue (Run-Wise)	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.QValue (Run-Wise)	[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.Quantity	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.Quantity	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.Quantity	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.Quantity	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.Quantity	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.Quantity	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.Quantity	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.Quantity	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.Quantity	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.Quantity	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.Quantity	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.Quantity	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.Quantity	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.Quantity	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.Quantity	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.Quantity	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.Quantity	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.Quantity
C0H3S9	ybzH	0.0003649256641789598	0.0005289650851740677	0.00020291275168698325	3.1147156225856516E-05	4.5532696563020504E-05	0.00017737994540532003	0.0009054533888853566	0.002425253362929559	0.0012849321637891362	0.00031794690403154255	0.001548373768530135	0.002034508623895577	0.00525349182862239	0.003402723897791843	0.008430495424192495	0.04393683401942956	0.009323024167936353	0.01667498679550582	1588214.5	1517938.25	1794674.375	2016803.375	3179163.5	3842762	2893388	2821551.5	2744863	1077434.375	1851502.875	9080908	2974863	3784556.5	3302067	NaN	7446312	3349972.5
C0H3V2	mtlF	1.4303985290550488E-12	5.396816384227216E-29	8.539032833642639E-07	0.0026587041608276247	0.015568301981388366	0.0030608302086487637	2.054975499130629E-18	0.0009671301934986395	0.00018344209808932098	0.028877733788884728	0.03971158813622057	0.03685134837820061	0.0016637442635957624	0.0002062258200875495	0.002562827470860264	0.06615497151615896	0.03265621186121176	0.11349778549992348	27530.24609375	31478.064453125	30329.267578125	13195.8046875	NaN	16953.802734375	181923.59375	174866.875	122773.765625	NaN	NaN	NaN	49186.83984375	41106.62890625	10339.1591796875	NaN	2948.133056640625	NaN
C0H3V3	yczO	5.131895616709511E-22	0.00016320357330357963	0.0001204782128569769	0.03168868657954161	0.0020916881258515392	0.0029865417005918225	7.264220163614095E-11	7.858680964096489E-08	1.9623868755510008E-53	0.11150995859640929	0.17296774577164023	0.025316006650094102	0.0034480174672324366	0.0013917922124510914	0.0015986303690683043	0.4310582588532362	0.3253800038632036	0.03266628095857343	86818.8828125	155932.46875	91375.8046875	NaN	12510.9560546875	35586.0546875	88011.3046875	106371.7890625	140977.546875	NaN	NaN	NaN	102044.265625	218056.390625	193281.25	NaN	NaN	NaN
C0H3Y5	yizC	0.0034060991842402555	7.61369197365324E-11	3.082888991301746E-05	0.00016765991243511766	0.0016615204155436528	0.0007138259555400937	0.003769996057884324	0.0002344392417558556	3.5843505775364364E-07	0.007360134202568142	0.03010773790246429	0.0035914190323475415	4.768940557057759E-124	1.3521644069083215E-10	0.0010832892415788475	0.008898783131764246	0.02210464334548917	0.022312891927579022	NaN	21045.92578125	52307.51953125	619.9529418945312	78885.4453125	1576.9168701171875	NaN	58376.99609375	61694.11328125	NaN	NaN	NaN	163285.34375	176477.75	212851.796875	NaN	NaN	NaN
C0H419	yngHB	0.01074613121238	0.00039274896690322497	0.0037958307288469585	2.8115012286124776E-06	2.6712406404843845E-16	7.510889411059426E-05	0.09565351773795289	0.08064932909389821	0.11902610165529408	6.941651676853115E-35	0.0004635017257225775	0.0015076011606951407	0.10113702008161143	0.08043330478303104	0.12936846433991586	0.008668335302374446	0.08068310469919555	0.002888865277753978	NaN	32444.103515625	NaN	74906.953125	54117.69921875	79193.2265625	NaN	NaN	NaN	44712.59375	82866.3046875	60340.2734375	NaN	NaN	NaN	NaN	NaN	165532.3125
C0SP84	ytlA	2.495786865067896E-86	0.0008098016506367829	7.748589727142034E-32	1.70766433056787E-11	2.6824552680842755E-297	4.205638536125547E-13	1.8430107155562115E-08	0.0002191262659653144	0.00014369726313741748	1.4248695463730468E-39	1.1009932479183995E-13	4.320712472863625E-05	0.1303316403911056	0.021843582310002267	0.020204410740916865	0.01018750973812145	0.009965395485557265	4.944779390080116E-11	1065.38720703125	8530.76171875	2566.5849609375	112048.9609375	89988.609375	66063.7890625	15448.8525390625	10066.005859375	15430.9658203125	163504.78125	418746.65625	241653.96875	NaN	NaN	NaN	NaN	NaN	76378.8203125
C0SP85	yukE	0.00017409645488464595	1.3870745959681562E-40	8.553217885923228E-05	6.237875037215927E-05	0.0012232933732783593	0.0005839239680342441	2.879848426975142E-37	3.3229047355052802E-09	1.8242213122504127E-51	9.504146839725972E-28	2.662473346105217E-05	3.197193915923002E-05	1.6821782009845868E-25	0.0012580437121480202	0.0013726893987490824	0.011832883970089471	0.015175285542247384	0.014059511534667635	2653128.5	2472243.5	2591103.5	1717231.375	1520370.625	1245835.875	3353144.5	2016413.125	2076584	6529822	7757796	7726377	1184226.625	1038890.25	936350.75	2648241	3713049.5	1561231.375
C0SP86	sftA	1.0659594805214206E-05	1.7579771353882E-24	1.2030393042217214E-71	0.0001595305860888149	6.496473319624544E-05	0.00016686215138954157	0.0009772503345488303	1.103872309192914E-08	5.084677529463276E-06	3.0025524464685084E-11	0.0016663954538769855	0.0017253985629475334	0.0012803069825034637	0.0016508225907599342	0.002651621849130323	0.05976498945136024	0.09618121091581824	0.02609310481612418	155702.234375	52089.4609375	37431.49609375	402358.25	269127.96875	831939.8125	192549.59375	248480	164996.203125	140994.640625	297899.28125	3111.218017578125	150219.5	381524.3125	583124.9375	NaN	NaN	NaN
C0SP93	accD	0.03501489446190863	0.003086842914478219	0.009900792164833923	9.421815319170008E-06	1.573210444233111E-20	0.00018241526810277157	0.08471163883897442	0.010138016525254659	0.04445216553919712	0.09133236909250789	0.011703863256827278	0.025499404131533353	0.15453069564815308	0.12477684037398408	0.05485522196102251	0.2631274314165879	0.22534722582130093	0.26547893556266744	NaN	NaN	NaN	133032.75	116559.1640625	113690.984375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
C0SP94	yhfQ	0.0008567862188745426	0.000950806805247848	0.0005326564332769547	3.2781651749467197E-06	1.0052834957925593E-06	4.2200335506309457E-07	0.0019997361676096846	0.0026123867824443033	0.008752948917733134	0.00037431940897227	0.001455037514547271	0.004351138422359175	0.10663688947886181	0.049227654425868364	0.003418477754827058	0.03670054122090795	0.03845870532378715	0.09523905436939976	631787.125	470891.78125	420528.6875	264017.09375	296637.59375	240112.671875	1229753	787320.6875	914683	305825.53125	347395	189216.8125	NaN	NaN	1308201	NaN	NaN	NaN
