x	y
30	1.6636
29.99	1.66361
29.98	1.66362
29.97	1.66362
29.96	1.66363
29.95	1.66364
29.94	1.66364
29.93	1.66365
29.92	1.66366
29.91	1.66366
29.9	1.66367
29.89	1.66368
29.88	1.66368
29.87	1.66369
29.86	1.6637
29.85	1.6637
29.84	1.66371
29.83	1.66371
29.82	1.66372
29.81	1.66373
29.8	1.66373
29.79	1.66374
29.78	1.66375
29.77	1.66375
29.76	1.66376
29.75	1.66377
29.74	1.66377
29.73	1.66378
29.72	1.66379
29.71	1.66379
29.7	1.6638
29.69	1.66381
29.68	1.66381
29.67	1.66382
29.66	1.66383
29.65	1.66383
29.64	1.66384
29.63	1.66385
29.62	1.66385
29.61	1.66386
29.6	1.66387
29.59	1.66387
29.58	1.66388
29.57	1.66389
29.56	1.66389
29.55	1.6639
29.54	1.66391
29.53	1.66392
29.52	1.66392
29.51	1.66393
29.5	1.66394
29.49	1.66394
29.48	1.66395
29.47	1.66396
29.46	1.66396
29.45	1.66397
29.44	1.66398
29.43	1.66398
29.42	1.66399
29.41	1.664
29.4	1.664
29.39	1.66401
29.38	1.66402
29.37	1.66402
29.36	1.66403
29.35	1.66404
29.34	1.66404
29.33	1.66405
29.32	1.66406
29.31	1.66406
29.3	1.66407
29.29	1.66408
29.28	1.66408
29.27	1.66409
29.26	1.6641
29.25	1.66411
29.24	1.66411
29.23	1.66412
29.22	1.66413
29.21	1.66413
29.2	1.66414
29.19	1.66415
29.18	1.66415
29.17	1.66416
29.16	1.66417
29.15	1.66417
29.14	1.66418
29.13	1.66419
29.12	1.6642
29.11	1.6642
29.1	1.66421
29.09	1.66422
29.08	1.66422
29.07	1.66423
29.06	1.66424
29.05	1.66424
29.04	1.66425
29.03	1.66426
29.02	1.66426
29.01	1.66427
29	1.66428
28.99	1.66429
28.98	1.66429
28.97	1.6643
28.96	1.66431
28.95	1.66431
28.94	1.66432
28.93	1.66433
28.92	1.66433
28.91	1.66434
28.9	1.66435
28.89	1.66436
28.88	1.66436
28.87	1.66437
28.86	1.66438
28.85	1.66438
28.84	1.66439
28.83	1.6644
28.82	1.66441
28.81	1.66441
28.8	1.66442
28.79	1.66443
28.78	1.66443
28.77	1.66444
28.76	1.66445
28.75	1.66446
28.74	1.66446
28.73	1.66447
28.72	1.66448
28.71	1.66448
28.7	1.66449
28.69	1.6645
28.68	1.6645
28.67	1.66451
28.66	1.66452
28.65	1.66453
28.64	1.66453
28.63	1.66454
28.62	1.66455
28.61	1.66456
28.6	1.66456
28.59	1.66457
28.58	1.66458
28.57	1.66458
28.56	1.66459
28.55	1.6646
28.54	1.66461
28.53	1.66461
28.52	1.66462
28.51	1.66463
28.5	1.66463
28.49	1.66464
28.48	1.66465
28.47	1.66466
28.46	1.66466
28.45	1.66467
28.44	1.66468
28.43	1.66469
28.42	1.66469
28.41	1.6647
28.4	1.66471
28.39	1.66471
28.38	1.66472
28.37	1.66473
28.36	1.66474
28.35	1.66474
28.34	1.66475
28.33	1.66476
28.32	1.66477
28.31	1.66477
28.3	1.66478
28.29	1.66479
28.28	1.66479
28.27	1.6648
28.26	1.66481
28.25	1.66482
28.24	1.66482
28.23	1.66483
28.22	1.66484
28.21	1.66485
28.2	1.66485
28.19	1.66486
28.18	1.66487
28.17	1.66488
28.16	1.66488
28.15	1.66489
28.14	1.6649
28.13	1.66491
28.12	1.66491
28.11	1.66492
28.1	1.66493
28.09	1.66494
28.08	1.66494
28.07	1.66495
28.06	1.66496
28.05	1.66497
28.04	1.66497
28.03	1.66498
28.02	1.66499
28.01	1.665
28	1.665
27.99	1.66501
27.98	1.66502
27.97	1.66503
27.96	1.66503
27.95	1.66504
27.94	1.66505
27.93	1.66506
27.92	1.66506
27.91	1.66507
27.9	1.66508
27.89	1.66509
27.88	1.66509
27.87	1.6651
27.86	1.66511
27.85	1.66512
27.84	1.66512
27.83	1.66513
27.82	1.66514
27.81	1.66515
27.8	1.66515
27.79	1.66516
27.78	1.66517
27.77	1.66518
27.76	1.66518
27.75	1.66519
27.74	1.6652
27.73	1.66521
27.72	1.66522
27.71	1.66522
27.7	1.66523
27.69	1.66524
27.68	1.66525
27.67	1.66525
27.66	1.66526
27.65	1.66527
27.64	1.66528
27.63	1.66528
27.62	1.66529
27.61	1.6653
27.6	1.66531
27.59	1.66532
27.58	1.66532
27.57	1.66533
27.56	1.66534
27.55	1.66535
27.54	1.66535
27.53	1.66536
27.52	1.66537
27.51	1.66538
27.5	1.66539
27.49	1.66539
27.48	1.6654
27.47	1.66541
27.46	1.66542
27.45	1.66542
27.44	1.66543
27.43	1.66544
27.42	1.66545
27.41	1.66546
27.4	1.66546
27.39	1.66547
27.38	1.66548
27.37	1.66549
27.36	1.66549
27.35	1.6655
27.34	1.66551
27.33	1.66552
27.32	1.66553
27.31	1.66553
27.3	1.66554
27.29	1.66555
27.28	1.66556
27.27	1.66557
27.26	1.66557
27.25	1.66558
27.24	1.66559
27.23	1.6656
27.22	1.66561
27.21	1.66561
27.2	1.66562
27.19	1.66563
27.18	1.66564
27.17	1.66565
27.16	1.66565
27.15	1.66566
27.14	1.66567
27.13	1.66568
27.12	1.66568
27.11	1.66569
27.1	1.6657
27.09	1.66571
27.08	1.66572
27.07	1.66572
27.06	1.66573
27.05	1.66574
27.04	1.66575
27.03	1.66576
27.02	1.66577
27.01	1.66577
27	1.66578
26.99	1.66579
26.98	1.6658
26.97	1.66581
26.96	1.66581
26.95	1.66582
26.94	1.66583
26.93	1.66584
26.92	1.66585
26.91	1.66585
26.9	1.66586
26.89	1.66587
26.88	1.66588
26.87	1.66589
26.86	1.6659
26.85	1.6659
26.84	1.66591
26.83	1.66592
26.82	1.66593
26.81	1.66594
26.8	1.66594
26.79	1.66595
26.78	1.66596
26.77	1.66597
26.76	1.66598
26.75	1.66599
26.74	1.66599
26.73	1.666
26.72	1.66601
26.71	1.66602
26.7	1.66603
26.69	1.66603
26.68	1.66604
26.67	1.66605
26.66	1.66606
26.65	1.66607
26.64	1.66608
26.63	1.66608
26.62	1.66609
26.61	1.6661
26.6	1.66611
26.59	1.66612
26.58	1.66613
26.57	1.66613
26.56	1.66614
26.55	1.66615
26.54	1.66616
26.53	1.66617
26.52	1.66618
26.51	1.66618
26.5	1.66619
26.49	1.6662
26.48	1.66621
26.47	1.66622
26.46	1.66623
26.45	1.66623
26.44	1.66624
26.43	1.66625
26.42	1.66626
26.41	1.66627
26.4	1.66628
26.39	1.66629
26.38	1.66629
26.37	1.6663
26.36	1.66631
26.35	1.66632
26.34	1.66633
26.33	1.66634
26.32	1.66634
26.31	1.66635
26.3	1.66636
26.29	1.66637
26.28	1.66638
26.27	1.66639
26.26	1.6664
26.25	1.6664
26.24	1.66641
26.23	1.66642
26.22	1.66643
26.21	1.66644
26.2	1.66645
26.19	1.66646
26.18	1.66646
26.17	1.66647
26.16	1.66648
26.15	1.66649
26.14	1.6665
26.13	1.66651
26.12	1.66652
26.11	1.66653
26.1	1.66653
26.09	1.66654
26.08	1.66655
26.07	1.66656
26.06	1.66657
26.05	1.66658
26.04	1.66659
26.03	1.66659
26.02	1.6666
26.01	1.66661
26	1.66662
25.99	1.66663
25.98	1.66664
25.97	1.66665
25.96	1.66666
25.95	1.66666
25.94	1.66667
25.93	1.66668
25.92	1.66669
25.91	1.6667
25.9	1.66671
25.89	1.66672
25.88	1.66673
25.87	1.66673
25.86	1.66674
25.85	1.66675
25.84	1.66676
25.83	1.66677
25.82	1.66678
25.81	1.66679
25.8	1.6668
25.79	1.66681
25.78	1.66681
25.77	1.66682
25.76	1.66683
25.75	1.66684
25.74	1.66685
25.73	1.66686
25.72	1.66687
25.71	1.66688
25.7	1.66689
25.69	1.66689
25.68	1.6669
25.67	1.66691
25.66	1.66692
25.65	1.66693
25.64	1.66694
25.63	1.66695
25.62	1.66696
25.61	1.66697
25.6	1.66697
25.59	1.66698
25.58	1.66699
25.57	1.667
25.56	1.66701
25.55	1.66702
25.54	1.66703
25.53	1.66704
25.52	1.66705
25.51	1.66706
25.5	1.66706
25.49	1.66707
25.48	1.66708
25.47	1.66709
25.46	1.6671
25.45	1.66711
25.44	1.66712
25.43	1.66713
25.42	1.66714
25.41	1.66715
25.4	1.66716
25.39	1.66717
25.38	1.66717
25.37	1.66718
25.36	1.66719
25.35	1.6672
25.34	1.66721
25.33	1.66722
25.32	1.66723
25.31	1.66724
25.3	1.66725
25.29	1.66726
25.28	1.66727
25.27	1.66728
25.26	1.66728
25.25	1.66729
25.24	1.6673
25.23	1.66731
25.22	1.66732
25.21	1.66733
25.2	1.66734
25.19	1.66735
25.18	1.66736
25.17	1.66737
25.16	1.66738
25.15	1.66739
25.14	1.6674
25.13	1.66741
25.12	1.66741
25.11	1.66742
25.1	1.66743
25.09	1.66744
25.08	1.66745
